,PlayerId,Name,Team,Catcher,First Base,Second Base,Third Base,Shortstop,Left Field,Center Field,Right Field,Designated Hitter,H,AB,R,2B,3B,HR,XBH,RBI,BB,SB,AVG,OBP,SLG
2,1735,Chase Headley,NYY,,,,1,,,,,,134.0,512.0,66.0,27.0,1.0,17.0,45.0,61.0,64.0,9.0,0.262,0.353,0.418
3,4687,Dalton Pompey,Tor,,,,,,,1.0,,,119.0,458.0,70.0,24.0,9.0,8.0,41.0,40.0,41.0,28.0,0.26,0.323,0.404
4,737,Brandon Phillips,Cin,,,1,,,,,,,139.0,525.0,62.0,26.0,1.0,13.0,40.0,68.0,28.0,5.0,0.265,0.307,0.392
5,3047,Brett Lawrie,Oak,,,1,1,,,,,,127.0,490.0,55.0,21.0,2.0,14.0,37.0,56.0,33.0,8.0,0.259,0.315,0.396
6,1438,Rajai Davis,Det,,,,,,1,1,,,109.0,406.0,56.0,23.0,2.0,6.0,31.0,37.0,22.0,39.0,0.268,0.312,0.379
7,1330,Nick Markakis,Atl,,,,,,,,1.0,,165.0,600.0,80.0,28.0,1.0,12.0,41.0,50.0,60.0,3.0,0.275,0.343,0.385
8,1907,Denard Span*,Wsh,,,,,,,1,,,145.0,509.0,72.0,30.0,8.0,4.0,42.0,34.0,40.0,20.0,0.285,0.338,0.399
9,3146,Avisail Garcia,CWS,,,,,,,,1,,116.0,435.0,55.0,15.0,2.0,14.0,31.0,54.0,24.0,8.0,0.267,0.312,0.407
10,1206,Michael Morse,Mia,,1.0,,,,1,,,,112.0,420.0,52.0,28.0,3.0,15.0,46.0,57.0,29.0,0.0,0.267,0.322,0.455
11,703,Mark Teixeira,NYY,,1.0,,,,,,,,107.0,458.0,60.0,19.0,0.0,22.0,41.0,70.0,60.0,1.0,0.234,0.326,0.419
12,3029,Steven Souza,TB,,,,,,,,1,,97.0,370.0,51.0,21.0,1.0,12.0,34.0,53.0,45.0,17.0,0.262,0.344,0.422
13,973,J.J. Hardy*,Bal,,,,,1.0,,,,,125.0,487.0,53.0,23.0,0.0,13.0,36.0,50.0,28.0,1.0,0.257,0.298,0.384
14,331,Torii Hunter,Min,,,,,,,,1,,137.0,493.0,63.0,28.0,2.0,14.0,44.0,64.0,22.0,4.0,0.278,0.313,0.428
15,2869,Desmond Jennings,TB,,,,,,,1,,,132.0,534.0,79.0,32.0,4.0,13.0,49.0,44.0,55.0,21.0,0.247,0.323,0.395
16,2911,Lonnie Chisenhall,Cle,,,,1,,,,,,136.0,502.0,64.0,31.0,1.0,16.0,48.0,63.0,39.0,3.0,0.271,0.331,0.432
17,4622,Marcus Semien,Oak,,,1,1,,,,,,110.0,442.0,68.0,25.0,4.0,11.0,40.0,53.0,54.0,11.0,0.249,0.335,0.398
18,1125,Aaron Hill,Ari,,,1,,,,,,,132.0,488.0,65.0,30.0,3.0,15.0,48.0,64.0,34.0,5.0,0.27,0.321,0.436
19,1460,Adam Lind,Mil,,1,,,,,,,1.0,128.0,447.0,58.0,25.0,2.0,18.0,45.0,62.0,45.0,1.0,0.286,0.349,0.472
20,5654,Micah Johnson,CWS,,,1,,,,,,,101.0,397.0,40.0,16.0,6.0,4.0,26.0,36.0,31.0,18.0,0.254,0.309,0.355
21,2237,Eric Young Jr.,Atl,,,,,,1,,,,82.0,335.0,52.0,14.0,5.0,2.0,21.0,20.0,29.0,32.0,0.245,0.312,0.334
22,1466,Miguel Montero,ChC,1,,,,,,,,,98.0,389.0,45.0,18.0,0.0,11.0,29.0,54.0,53.0,0.0,0.252,0.349,0.383
23,650,Josh Hamilton*,LAA,,,,,,1,,,,84.0,335.0,45.0,19.0,1.0,13.0,33.0,47.0,30.0,3.0,0.251,0.315,0.43
24,1894,Jed Lowrie,Hou,,,,,1,,,,,131.0,483.0,62.0,29.0,2.0,11.0,42.0,53.0,47.0,1.0,0.271,0.338,0.408
25,2489,Josh Reddick*,Oak,,,,,,,,1,,118.0,466.0,67.0,22.0,6.0,18.0,46.0,67.0,43.0,4.0,0.253,0.316,0.442
26,2068,Dexter Fowler,ChC,,,,,,,1,,,115.0,440.0,64.0,20.0,3.0,9.0,32.0,36.0,70.0,14.0,0.261,0.366,0.382
27,2071,John Jaso,TB,1,,,,,,,,1,119.0,435.0,61.0,25.0,3.0,12.0,40.0,56.0,52.0,4.0,0.274,0.359,0.428
28,1339,Angel Pagan,SF,,,,,,,1,,,127.0,448.0,66.0,25.0,6.0,5.0,36.0,35.0,32.0,18.0,0.283,0.331,0.4
29,2950,Alexi Amarista,SD,,,1,1,1,,1,,,99.0,403.0,41.0,15.0,3.0,5.0,23.0,39.0,26.0,10.0,0.246,0.29,0.335
30,4527,Norichika Aoki,SF,,,,,,,,1,,136.0,496.0,64.0,22.0,5.0,3.0,30.0,36.0,43.0,18.0,0.274,0.341,0.357
31,4562,Joe Panik,SF,,,1,,,,,,,155.0,564.0,69.0,24.0,6.0,4.0,34.0,45.0,40.0,6.0,0.275,0.325,0.36
32,1432,Michael Bourn,Cle,,,,,,,1,,,138.0,535.0,71.0,21.0,9.0,5.0,35.0,40.0,45.0,21.0,0.258,0.317,0.359
33,5507,Kennys Vargas,Min,,,,,,,,,1,117.0,469.0,57.0,21.0,1.0,19.0,41.0,71.0,39.0,0.0,0.249,0.31,0.42
34,6182,Jung Ho Kang,Pit,,,,,1,,,,,66.0,259.0,37.0,16.0,1.0,10.0,27.0,28.0,24.0,9.0,0.255,0.331,0.44
35,1798,Emilio Bonifacio,CWS,,,1,,,,1,,,104.0,432.0,52.0,16.0,4.0,3.0,23.0,25.0,33.0,31.0,0.241,0.296,0.317
36,2171,Trevor Plouffe,Min,,,,1,,,,,,132.0,511.0,63.0,33.0,2.0,17.0,52.0,67.0,48.0,2.0,0.258,0.326,0.431
37,4805,Jace Peterson,Atl,,,1,,1,,,,,56.0,244.0,29.0,12.0,3.0,1.0,16.0,23.0,26.0,9.0,0.23,0.305,0.316
